
		EULER METHOD Computation:
 run 	 x_run 	 y_run 	
 0	 0.0	 0.6186520227386448
 1	 0.001	 0.6192706747613835
 2	 0.002	 0.619889945436145
 3	 0.003	 0.6205098353815811
 4	 0.004	 0.6211303452169626
 5	 0.005	 0.6217514755621796
 6	 0.006	 0.6223732270377418
 7	 0.007	 0.6229956002647795
 8	 0.008	 0.6236185958650443
 9	 0.009000000000000001	 0.6242422144609093
 10	 0.010000000000000002	 0.6248664566753702
 11	 0.011000000000000003	 0.6254913231320456
 12	 0.012000000000000004	 0.6261168144551776
 13	 0.013000000000000005	 0.6267429312696328
 14	 0.014000000000000005	 0.6273696742009024
 15	 0.015000000000000006	 0.6279970438751032
 16	 0.016000000000000007	 0.6286250409189783
 17	 0.017000000000000008	 0.6292536659598973
 18	 0.01800000000000001	 0.6298829196258572
 19	 0.01900000000000001	 0.630512802545483
 20	 0.02000000000000001	 0.6311433153480285
 21	 0.02100000000000001	 0.6317744586633766
 22	 0.022000000000000013	 0.6324062331220399
 23	 0.023000000000000013	 0.6330386393551619
 24	 0.024000000000000014	 0.6336716779945171
 25	 0.025000000000000015	 0.6343053496725116
 26	 0.026000000000000016	 0.6349396550221841
 27	 0.027000000000000017	 0.6355745946772062
 28	 0.028000000000000018	 0.6362101692718835
 29	 0.02900000000000002	 0.6368463794411553
 30	 0.03000000000000002	 0.6374832258205965
 31	 0.03100000000000002	 0.638120709046417
 32	 0.03200000000000002	 0.6387588297554635
 33	 0.03300000000000002	 0.639397588585219
 34	 0.03400000000000002	 0.6400369861738042
 35	 0.035000000000000024	 0.640677023159978
 36	 0.036000000000000025	 0.6413177001831379
 37	 0.037000000000000026	 0.6419590178833211
 38	 0.03800000000000003	 0.6426009769012044
 39	 0.03900000000000003	 0.6432435778781056
 40	 0.04000000000000003	 0.6438868214559837
 41	 0.04100000000000003	 0.6445307082774397
 42	 0.04200000000000003	 0.6451752389857172
 43	 0.04300000000000003	 0.6458204142247028
 44	 0.04400000000000003	 0.6464662346389275
 45	 0.04500000000000003	 0.6471127008735664
 46	 0.046000000000000034	 0.64775981357444
 47	 0.047000000000000035	 0.6484075733880145
 48	 0.048000000000000036	 0.6490559809614025
 49	 0.04900000000000004	 0.6497050369423639
 50	 0.05000000000000004	 0.6503547419793063
 51	 0.05100000000000004	 0.6510050967212856
 52	 0.05200000000000004	 0.6516561018180069
 53	 0.05300000000000004	 0.652307757919825
 54	 0.05400000000000004	 0.6529600656777448
 55	 0.05500000000000004	 0.6536130257434225
 56	 0.05600000000000004	 0.6542666387691659
 57	 0.057000000000000044	 0.6549209054079351
 58	 0.058000000000000045	 0.6555758263133431
 59	 0.059000000000000045	 0.6562314021396565
 60	 0.060000000000000046	 0.6568876335417961
 61	 0.06100000000000005	 0.6575445211753379
 62	 0.06200000000000005	 0.6582020656965133
 63	 0.06300000000000004	 0.6588602677622099
 64	 0.06400000000000004	 0.659519128029972
 65	 0.06500000000000004	 0.660178647158002
 66	 0.06600000000000004	 0.66083882580516
 67	 0.06700000000000005	 0.6614996646309651
 68	 0.06800000000000005	 0.662161164295596
 69	 0.06900000000000005	 0.6628233254598916
 70	 0.07000000000000005	 0.6634861487853515
 71	 0.07100000000000005	 0.6641496349341368
 72	 0.07200000000000005	 0.6648137845690709
 73	 0.07300000000000005	 0.66547859835364
 74	 0.07400000000000005	 0.6661440769519936
 75	 0.07500000000000005	 0.6668102210289456
 76	 0.07600000000000005	 0.6674770312499746
 77	 0.07700000000000005	 0.6681445082812246
 78	 0.07800000000000006	 0.6688126527895059
 79	 0.07900000000000006	 0.6694814654422954
 80	 0.08000000000000006	 0.6701509469077377
 81	 0.08100000000000006	 0.6708210978546454
 82	 0.08200000000000006	 0.6714919189525
 83	 0.08300000000000006	 0.6721634108714526
 84	 0.08400000000000006	 0.6728355742823241
 85	 0.08500000000000006	 0.6735084098566064
 86	 0.08600000000000006	 0.674181918266463
 87	 0.08700000000000006	 0.6748561001847295
 88	 0.08800000000000006	 0.6755309562849142
 89	 0.08900000000000007	 0.6762064872411991
 90	 0.09000000000000007	 0.6768826937284403
 91	 0.09100000000000007	 0.6775595764221688
 92	 0.09200000000000007	 0.6782371359985909
 93	 0.09300000000000007	 0.6789153731345895
 94	 0.09400000000000007	 0.6795942885077241
 95	 0.09500000000000007	 0.6802738827962318
 96	 0.09600000000000007	 0.680954156679028
 97	 0.09700000000000007	 0.681635110835707
 98	 0.09800000000000007	 0.6823167459465428
 99	 0.09900000000000007	 0.6829990626924893
 100	 0.10000000000000007	 0.6836820617551819
 101	 0.10100000000000008	 0.684365743816937
 102	 0.10200000000000008	 0.685050109560754
 103	 0.10300000000000008	 0.6857351596703147
 104	 0.10400000000000008	 0.686420894829985
 105	 0.10500000000000008	 0.687107315724815
 106	 0.10600000000000008	 0.6877944230405398
 107	 0.10700000000000008	 0.6884822174635804
 108	 0.10800000000000008	 0.6891706996810439
 109	 0.10900000000000008	 0.6898598703807249
 110	 0.11000000000000008	 0.6905497302511057
 111	 0.11100000000000008	 0.6912402799813567
 112	 0.11200000000000009	 0.6919315202613381
 113	 0.11300000000000009	 0.6926234517815995
 114	 0.11400000000000009	 0.693316075233381
 115	 0.11500000000000009	 0.6940093913086144
 116	 0.11600000000000009	 0.694703400699923
 117	 0.11700000000000009	 0.6953981041006229
 118	 0.11800000000000009	 0.6960935022047234
 119	 0.11900000000000009	 0.6967895957069281
 120	 0.12000000000000009	 0.6974863853026351
 121	 0.1210000000000001	 0.6981838716879377
 122	 0.1220000000000001	 0.6988820555596257
 123	 0.1230000000000001	 0.6995809376151854
 124	 0.1240000000000001	 0.7002805185528006
 125	 0.12500000000000008	 0.7009807990713534
 126	 0.12600000000000008	 0.7016817798704247
 127	 0.12700000000000009	 0.7023834616502951
 128	 0.12800000000000009	 0.7030858451119454
 129	 0.1290000000000001	 0.7037889309570573
 130	 0.1300000000000001	 0.7044927198880143
 131	 0.1310000000000001	 0.7051972126079024
 132	 0.1320000000000001	 0.7059024098205102
 133	 0.1330000000000001	 0.7066083122303307
 134	 0.1340000000000001	 0.7073149205425611
 135	 0.1350000000000001	 0.7080222354631036
 136	 0.1360000000000001	 0.7087302576985667
 137	 0.1370000000000001	 0.7094389879562653
 138	 0.1380000000000001	 0.7101484269442215
 139	 0.1390000000000001	 0.7108585753711657
 140	 0.1400000000000001	 0.7115694339465368
 141	 0.1410000000000001	 0.7122810033804834
